,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ulica [nazwa skrócona],Ulica [nazwa pe?na],Numery,Dzielnica,Pn,Wt,?r,Cz,Pt,So,Pn,Wt,?r,Cz,Pt,So,Pn,Wt,?r,Cz,Pt,So,sek.
3 Maja,3 Maja,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Aksamitna,Aksamitna,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Andersena,Christiana Andersena,,PRZERÓBKA,,x,,,x,,x,,,x,,,,x,,,x,,2
Angielska Grobla,Angielska Grobla,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Augusty?skiego,Jana Augusty?skiego,,?RÓDMIE?CIE,x,,,,x,,x,,,,x,,x,,,,x,,2
Bajki,Bajki,,PRZERÓBKA,,x,,,x,,x,,,x,,,,x,,,x,,2
Basen Górniczy ,Basen Górniczy ,Inne,STOGI ,,,,,,,,,,,,,,,,,,,2
Bastion ?w. El?biety,Bastion ?w. El?biety,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Basztowa,Basztowa,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Bednarska,Bednarska,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Biela?ska,Biela?ska,,?RÓDMIE?CIE,x,,x,,x,x,,x,,,x,,x,,x,,x,x,2
Biskupia,Biskupia,,?RÓDMIE?CIE,,x,,x,,x,x,,,,x,,,x,,x,,x,2
Bliska,Bliska,,NOWY PORT,x,,x,,x,,,x,,,x,,x,,x,,x,,2
Blizowa,Blizowa,,NOWY PORT,,,,,,,,,,,,,,,,,,,2
B??dnik (wiadukt),B??dnik (wiadukt),Inne,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Bogus?awskiego,Wojciecha Bogus?awskiego,,?RÓDMIE?CIE,x,,x,,x,x,x,,,,x,,x,,x,,x,x,2
Bosma?ska,Bosma?ska,,?RÓDMIE?CIE,x,,x,,x,x,x,,,,x,,x,,x,,x,x,2
Browarna,Browarna,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Brygidki,Brygidki,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Brzechwy,Jana Brzechwy,,PRZERÓBKA,,x,,,x,,x,,,x,,,,x,,,x,,2
Bud. Portu Pó?nocnego,Budowniczych Portu Pó?nocnego,,STOGI ,,,,,,,,,,,,,,,,,,,2
Budzysza,Wosia Budzysza,,STOGI ,,,,,,,,,,,,,,,,,,,2
Charpantiera,Jana Charpantiera,,PRZERÓBKA,,,,,,,,,,,,,,,,,,,2
Chemików ,Chemików ,,PRZERÓBKA,,,,,,,,,,,,,,,,,,,2
Chlebnicka,Chlebnicka,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Ch?odna,Ch?odna,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Chmielna,Chmielna,,?RÓDMIE?CIE,x,,,x,,,x,,x,,,,x,,,x,,,2
Chodackiego,Mariana Chodackiego,,LETNICA,x,,,x,,,,x,,,x,,x,,,x,,,2
Chwaszczy?ska,Chwaszczy?ska,,M?YNISKA,x,,,x,,,,x,,,x,,x,,,x,,,2
Ciesielska,Ciesielska,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Czopowa,Czopowa,,?RÓDMIE?CIE,x,,x,,x,x,x,,,x,,,x,,x,,x,x,2
de Plelo,Roberta de Plelo,,PRZERÓBKA,,,,,,,,,,,,,,,,,,,2
Dickensa,Karola Dickensa,,PRZERÓBKA,,x,,,x,,x,,,x,,,,x,,,x,,2
D?uga,D?uga,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
D?uga Grobla,D?uga Grobla,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
D?ugi Targ,D?ugi Targ,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
D?ugie Ogrody,D?ugie Ogrody,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
D?ugie Pobrze?e,D?ugie Pobrze?e,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
D?ugosza,Jana D?ugosza,,NOWY PORT,,x,,,x,,,x,,,x,,,x,,,x,,2
Dobra,Dobra,,?RÓDMIE?CIE,x,,,x,,,x,,x,,x,,x,,,x,,,2
Doki,Doki,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Dolna,Dolna,,?RÓDMIE?CIE,x,,,x,,,x,,x,,x,,x,,,x,,,2
Dolna Brama,Dolna Brama,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Dylinki,Dylinki,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Dyrekcyjna,Dyrekcyjna,,?RÓDMIE?CIE,,x,,,x,,x,,,x,,,,x,,,x,,2
Dziana,Dziana,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Dziewanowskiego,Jana Dziewanowskiego,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Elbl?ska,Elbl?ska,"42-64 parz., 59-73 nieparz.",?RÓDMIE?CIE,x,,,x,,,x,,,x,,,x,,,x,,,2
El?bieta?ska,El?bieta?ska,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Falck Polonusa,Jeremiasza Falck Polonusa,,STOGI ,x,,,x,,,x,,,x,,,x,,,x,,,2
Floria?ska,Floria?ska,,NOWY PORT,,x,,,x,,,x,,,x,,,x,,,x,,2
Fundacyjna,Fundacyjna,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Garbary,Garbary,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Garncarska,Garncarska,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Gazownicza,Gazownicza,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Gdy?skich Kosynierów,Gdy?skich Kosynierów,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
G??boka,G??boka,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Gnilna,Gnilna,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Góreckiego,ks. Mariana Góreckiego,,NOWY PORT,x,,x,,x,,,x,,,x,,x,,x,,x,,2
Górka,Górka,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Górna,Górna,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Gradowa,Gradowa,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Grobla I,Grobla I,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Grobla II,Grobla II,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Grobla III,Grobla III,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Grobla IV,Grobla IV,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Grodza Kamienna,Grodza Kamienna,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Grodzka,Grodzka,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Grz?ska,Grz?ska,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Gwiazda Morza,Gwiazda Morza,,LETNICA,,,,,,,,,,,,,,,,,,,2
Handlowa,Handlowa,,LETNICA,,,,,,,,,,,,,,,,,,,2
Heweliusza,Jana Heweliusza,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Ho?a,Ho?a,,STOGI ,x,,,x,,,x,,,x,,,x,,,x,,,2
Hucisko,Hucisko,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Igielnicka,Igielnicka,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Jaglana,Jaglana,,?RÓDMIE?CIE,,x,,,x,,,,x,,x,,,x,,,x,,2
Ja?mu?nicza,Ja?mu?nicza,,?RÓDMIE?CIE,x,,,x,,,,x,,,x,,x,,,x,,,2
Jana z Kolna,Jana z Kolna,31 do ko?ca,M?YNISKA,,x,,,x,x,x,,,x,,,,x,,,x,x,2
Jana z Kolna,Jana z Kolna,1-30,?RÓDMIE?CIE,,x,,,x,x,x,,,x,,,,x,,,x,x,2
Jaracza,Stefana Jaracza,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Jaskó?cza,Jaskó?cza,,?RÓDMIE?CIE,x,,x,,x,,x,,,x,,,x,,x,,x,,2
Jastrz?bia,Jastrz?bia,,STOGI ,,x,,,x,,x,,,x,,,,x,,,x,,2
Kacze?ce,Kacze?ce,,STOGI ,,x,,,x,,x,,,x,,,,x,,,x,,2
Kaletnicza,Kaletnicza,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Kamienna Grobla,Kamienna Grobla,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Karmelicka,Karmelicka,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Karpia,Karpia,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Kasztanowa,Kasztanowa,,NOWY PORT,x,,x,,x,,,x,,,x,,x,,x,,x,,2
Katarzynki,Katarzynki,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Kaznodziejska,Kaznodziejska,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Kieturakisa,prof. Zdzis?awa Kieturakisa,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Klesza,Klesza,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
K?adki,K?adki,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
K?osowa,K?osowa,,STOGI ,,x,,,x,,x,,,x,,,,x,,,x,,2
Kocurki,Kocurki,,?RÓDMIE?CIE,x,,x,,x,,,,x,,x,,x,,x,,x,,2
Ko?odziejska,Ko?odziejska,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Kontenerowa,Kontenerowa,,STOGI ,,,,,,,,,,,,,,,,,,,2
Kormoranów,Kormoranów,,STOGI ,,,,,,,,,,,,,,,,,,,2
Korzenna,Korzenna,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Kotwiczników,Kotwiczników,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Kowalska,Kowalska,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Kozia,Kozia,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Kramarska,Kramarska,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Krosienka,Krosienka,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Krosna,Krosna,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Krowia,Krowia,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Krowoderska,Krowoderska,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Królikarnia,Królikarnia,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Krucza,Krucza,,STOGI ,,,,,,,,,,,,,,,,,,,2
Kryniczna,Kryniczna,,PRZERÓBKA,,x,,,x,,x,,,x,,,,x,,,x,,2
Krzywa,Krzywa,,NOWY PORT,,,,,,,,,,,,,,,,,,,2
Ku Uj?ciu ,Ku Uj?ciu ,,PRZERÓBKA,,,,,,,,,,,,,,,,,,,2
Kujawska,Kujawska,,PRZERÓBKA,,,,,,,,,,,,,,,,,,,2
Kupiecka,Kupiecka,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Kurkowa,Kurkowa,,?RÓDMIE?CIE,,x,,x,,x,x,,x,,x,,,x,,x,,x,2
Kurza,Kurza,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Ku?nierska,Ku?nierska,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Lastadia,Lastadia,,?RÓDMIE?CIE,x,,x,,x,,,,x,,x,,x,,x,,x,,2
Latarniana,Latarniana,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Lawendowa,Lawendowa,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Lektykarska,Lektykarska,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Lenartowicza,Teofila Lenartowicza,,PRZERÓBKA,,x,,,x,,x,,,x,,,,x,,,x,,2
Letnicka,Letnicka,,LETNICA,,,,,,,,,,,,,,,,,,,2
Lisia Grobla,Lisia Grobla,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
?agiewniki,?agiewniki,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
?awnicza,?awnicza,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
??kowa,??kowa,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Mariacka,Mariacka,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Marynarki Polskiej,Marynarki Polskiej,76-130 parz.; 53-89 nieparz.,LETNICA,x,,x,,x,,,x,,,x,,x,,x,,x,,2
Marynarki Polskiej,Marynarki Polskiej,"132 do ko?ca parz., 93 do ko?ca nieparz.",M?YNISKA,x,,x,,x,,,x,,,x,,x,,x,,x,,2
Marynarki Polskiej,Marynarki Polskiej,"2-66 parz., 1-51 nieparz.",NOWY PORT,x,,x,,x,,,x,,,x,,x,,x,,x,,2
Menonitów,Menonitów,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Michny,Antoniego Michny,,LETNICA,x,,x,,x,,,x,,,x,,x,,x,,x,,2
Mieszcza?ska,Mieszcza?ska,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Minogi,Minogi,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
M?y?ska,M?y?ska,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Mniszki,Mniszki,,?RÓDMIE?CIE,,x,,,x,,x,,x,,x,,,x,,,x,,2
Mokra,Mokra,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Mostek,Mostek,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Mot?awska,Mot?awska,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Mydlarska,Mydlarska,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Mylna,Mylna,,NOWY PORT,,,,,,,,,,,,,,,,,,,2
Na Ostrowiu,Na Ostrowiu,,M?YNISKA,,,,,,,,,,,,,,,,,,,2
Na Piaskach,Na Piaskach,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Na St?pce,Na St?pce,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Na Stoku,Na Stoku,,?RÓDMIE?CIE,,x,,x,,x,x,,x,,x,,,x,,x,,x,2
Na Zasp?,Na Zasp?,,NOWY PORT,x,,x,,x,,,x,,,x,,x,,x,,x,,2
Nabrze?e Wi?lane,Nabrze?e Wi?lane,Inne,STOGI ,,,,,,,,,,,,,,,,,,,2
Nabrze?e WOC I,Nabrze?e WOC I,Inne,STOGI ,,,,,,,,,,,,,,,,,,,2
Nabrze?e WOC II,Nabrze?e WOC II,Inne,STOGI ,,,,,,,,,,,,,,,,,,,2
Nad Brzegiem,Nad Brzegiem,1A,STOGI,x,,,x,,,x,,,x,,,x,,,x,,,2
Narwicka,Narwicka,,LETNICA,,,,,,,,,,,,,,,,,,,2
Nieca?a,Nieca?a,,LETNICA,x,,x,,x,,,x,,,x,,x,,x,,x,,2
Niska,Niska,,STOGI ,x,,x,,x,,x,,,x,,,x,,x,,x,,2
Nowe Ogrody,Nowe Ogrody,,?RÓDMIE?CIE,x,,x,,x,,x,,,,x,,x,,x,,x,,2
Nowomiejska,Nowomiejska,,?RÓDMIE?CIE,,x,,x,,x,x,,x,,x,,,x,,x,,x,2
Nowotna,Nowotna,,STOGI ,,,,,,,,,,,,,,,,,,,2
Ogarna,Ogarna,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Okopowa,Okopowa,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Okr?g,Okr?g,,M?YNISKA,x,,x,,x,,,x,,,x,,x,,x,,x,,2
Olejarna,Olejarna,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Oliwska,Oliwska,,NOWY PORT,x,,x,,x,,,x,,,x,,x,,x,,x,,2
O?owianka,O?owianka,,?RÓDMIE?CIE,x,,x,,x,,x,,,,x,,x,,x,,x,,2
Osiek,Osiek,,?RÓDMIE?CIE,,x,x,x,x,x,x,,,,x,,,x,x,x,x,x,2
Owsiana,Owsiana,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Pacho?ów,Pacho?ów,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Panie?ska,Panie?ska,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Pa?ska,Pa?ska,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Park Grodzisko,Park Kultury i Wypoczynku „Grodzisko” ,Inne,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Park Orkusza,Park Ks. Kanonika Kazimierza Orkusza,Inne,LETNICA,,,,,,,,,,,,,,,,,,,2
Pastoriusza,Joachima Pastoriusza,,PRZERÓBKA,x,,x,,x,,x,,,x,,,x,,x,,x,,2
Pawia,Pawia,,STOGI ,x,,,x,,,x,,,x,,,x,,,x,,,2
Pirs Paliwowy ,Pirs Paliwowy ,Inne,STOGI ,,,,,,,,,,,,,,,,,,,2
Pirs Rudowy,Pirs Rudowy,Inne,STOGI ,,,,,,,,,,,,,,,,,,,2
Pirs W?glowy,Pirs W?glowy,Inne,STOGI ,,,,,,,,,,,,,,,,,,,2
Piwna,Piwna,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Plac Dominika?ski,Plac Dominika?ski,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Plac Gustkowicza,Plac ks. pra?ata Jana Gustkowicza,,NOWY PORT,x,,x,,x,,,x,,,x,,x,,x,,x,,2
Plac Kobzdeja,Plac Dariusza Kobzdeja,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Plac Obro?ców Poczty Polskiej,Plac Obro?ców Poczty Polskiej,,?RÓDMIE?CIE,x,,x,,x,x,x,,,x,,,x,,x,,x,x,2
Plac Polaka ,Plac Tadeusza Polaka ,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Plac Solidarno?ci,Plac Solidarno?ci,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Plac Wa?owy,Plac Wa?owy,,?RÓDMIE?CIE,x,,x,,x,,,,x,,x,,x,,x,,x,,2
Plac Zator- Przytockiego,Plac ks. Józefa Zator- Przytockiego,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Plebania,Plebania,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Pocztowa,Pocztowa,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Pod Zr?bem,Pod Zr?bem,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Podbiela?ska,Podbiela?ska,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Podgarbary,Podgarbary,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Podjazd,Podjazd,,NOWY PORT,,,,,,,,,,,,,,,,,,,2
Podkramarska,Podkramarska,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Podm?y?ska,Podm?y?ska,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Podmurze,Podmurze,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Podstoczna,Podstoczna,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Podwale Grodzkie,Podwale Grodzkie,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Podwale Przedmiejskie,Podwale Przedmiejskie,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Podwale Staromiejskie,Podwale Staromiejskie,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Podzamcze,Podzamcze,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Poinca,kpt. ?.w. Witolda Poinca,,STOGI ,,,,,,,,,,,,,,,,,,,2
Pok?adowa,Pok?adowa,,PRZERÓBKA,,,,,,,,,,,,,,,,,,,2
Pokole? Lechii Gda?sk,Pokole? Lechii Gda?sk,,LETNICA,,,,,,,,,,,,,,,,,,,2
Polna,Polna,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Po?czoszników,Po?czoszników,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Powalna,Powalna,,?RÓDMIE?CIE,x,,,x,,,x,,x,,x,,x,,,x,,,2
Powro?nicza,Powro?nicza,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Po?arnicza,Po?arnicza,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Profesorska,Profesorska,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Promowa,Promowa,,PRZERÓBKA,,,,,,,,,,,,,,,,,,,2
Przemys?owa,Przemys?owa,,NOWY PORT,,,,,,,,,,,,,,,,,,,2
Przesmyk,Przesmyk,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Przetoczna,Przetoczna,,PRZERÓBKA,,x,,,x,,x,,,x,,,,x,,,x,,2
Prz?dzalnicza,Prz?dzalnicza,,?RÓDMIE?CIE,x,x,x,x,x,,x,,x,,x,,x,x,x,x,x,,2
Przyjació?,Przyjació?,,NOWY PORT,,,,,,,,,,,,,,,,,,,2
Przyokopowa,Przyokopowa,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Pszenna,Pszenna,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Radna,Radna,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Rajska,Rajska,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Reduta Dzik,Reduta Dzik,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
