,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ulica [skrócona nazwa],Ulica [pełna nazwa],Numery,Dzielnica,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,Sek
Abrahama,Antoniego Abrahama,1-10; 56 do końca,OLIWA,,x,,,,,,x,,,,,,x,,,,,5
Achillesa,Achillesa,,OSOWA,,,,x,,,,,,x,,,,,,x,,,5
Afrodyty,Afrodyty,,OSOWA,,,,x,,,,,,,x,,,,,x,,,5
Agrarna,Agrarna,,MATARNIA,,x,,,,,,x,,,,,,x,,,,,5
Akteona,Akteona,,OSOWA,,,,x,,,,,,x,,,,,,x,,,5
Andromedy,Andromedy,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Antygony,Antygony,,OSOWA ,,,,x,,,,,,x,,,,,,x,,,5
Ariadny,Ariadny,,OSOWA,,,,,,,,,,,,,,,,,,,5
Artemidy,Artemidy,,OSOWA,,,,x,,,,,,x,,,,,,x,,,5
Asnyka,Adama Asnyka,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Astronautów,Astronautów,,MATARNIA,,,x,,,,,x,,,,,,,x,,,,5
Astronomów,Astronomów,,OSOWA,,,,,x,,,,,,x,,,,,,x,,5
Ateny,Ateny,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Azaliowa,Azaliowa,,KOKOSZKI,x,,,,,,x,,,,,,x,,,,,,5
Azymutalna,Azymutalna,,MATARNIA,,,x,,,,,x,,,,,,,x,,,,5
Balcerskiego,Wacława Balcerskiego,,OSOWA,,,,x,,,,,,x,,,,,,x,,,5
Bałtycka,Bałtycka,,ŻABIANKA-WEJ.-JEL.-TYS.,,,,x,,,,x,,,,,,,,x,,,5
Banińska,Banińska,,KOKOSZKI,,,,x,,,,x,,,,,,,,x,,,5
Barkoczyńska,Barkoczyńska,,KOKOSZKI,x,,,,,,,x,,,,,x,,,,,,5
Barniewicka,Barniewicka,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Bażyńskiego,Jana Bażyńskiego,,OLIWA,,,,x,,,,x,,,,,,x,,,,,5
Bereniki,Bereniki,,OSOWA,,,,,x,,,,,,x,,,,,,x,,5
Betoniarzy,Betoniarzy,,KOKOSZKI,,,,x,,,,x,,,,,,,,x,,,5
Będomińska,Będomińska,,KOKOSZKI,x,,,,,,,x,,,,,x,,,,,,5
Bieszkowicka,Bieszkowicka,,KOKOSZKI,x,,,,,,,x,,,,,x,,,,,,5
Biologiczna,Biologiczna,,KOKOSZKI,,,,x,,,,x,,,,,,,,x,,,5
Bitwy Oliwskiej,Bitwy Oliwskiej,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Biwakowa,Biwakowa,,OSOWA,,,,x,,,,,,,x,,,,,x,,,5
Bliźniąt,Bliźniąt,,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
Błękitna,Błękitna,,ŻABIANKA-WEJ.-JEL.-TYS.,,,,x,,,,x,,,,,,,,x,,,5
Bobrowa,Bobrowa,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Borchardta,kpt. Karola Olgierda Borchardta,,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
Borówkowa,Borówkowa,,KOKOSZKI,x,,,,,,x,,,,,,x,,,,,,5
Borska,Borska,,KOKOSZKI,x,,,,,,,x,,,,,x,,,,,,5
Borsucza,Borsucza,,JASIEŃ,,,x,,,,,,,,x,,,,x,,,,5
Botaniczna,Botaniczna,,KOKOSZKI,,,,x,,,,x,,,,,,,,x,,,5
Brodnicka,Brodnicka,,KOKOSZKI,x,,,,,,,x,,,,,x,,,,,,5
Brzoskwiniowa,Brzoskwiniowa,,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
Budowlanych,Budowlanych,"2-58 parz., 1-59 nieparz.",KOKOSZKI,,,x,,,,,x,,,,,,,x,,,,5
Budowlanych,Budowlanych,60 do końca parz. 61 do końca nieparz.,MATARNIA,,x,,,,,,x,,,,,,x,,,,,5
