,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ulica [nazwa skrócona],Ulica [nazwa pełna],Numery,Dzielnica,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,sek.
11 Listopada,11 Listopada,,UJEŚCISKO-ŁOSTOWICE,x,,x,,x,,x,,,x,,,x,,x,,x,,6
Abrahama,Antoniego Abrahama,11-55,VII DWÓR,x,,,x,,,,,,x,,x,x,,,x,,,6
Amundsena,Amundsena,,PIECKI-MIGOWO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Arctowskiego,Henryka Arctowskiego,,PIECKI-MIGOWO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Bacewicz,Grażyny Bacewicz,,SUCHANINO,,,,,,,,,,,,,,,,,,,6
Bacha,Jana Sebastiana Bacha,,SUCHANINO,,,,,,,,,,,,,,,,,,,6
Baśniowa,Baśniowa,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Bądkowskiego,Lecha Bądkowskiego,,SIEDLCE,x,,x,,x,,,,x,,x,,x,,x,,x,,6
Beethovena,Ludwika Beethovena,,SUCHANINO ,x,,,x,,,,x,,,x,,x,,,x,,,6
Belgradzka,Belgradzka,,PIECKI-MIGOWO,x,,,x,,,,,x,,x,,x,,,x,,,6
Bellinga,Franciszka Bellinga,,VII DWÓR,,,,,,,,,,,,,,,,,,,6
Bema,gen. Józefa Bema,,SIEDLCE,,x,,,x,,,,x,,x,,,x,,,x,,6
Bergiela,Konstantego Bergiela,,UJEŚCISKO-ŁOSTOWICE,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Beskidzka,Beskidzka,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Białostocka,Białostocka,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Białowieska,Białowieska,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Bieszczadzka,Bieszczadzka,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Borowskiego,Michała Borowskiego,,UJEŚCISKO-ŁOSTOWICE,x,,,x,,,x,,,x,,,x,,,x,,,6
Bramińskiego,kmdr. Tadeusza Bramińskiego,,UJEŚCISKO-ŁOSTOWICE,x,,,x,,,x,,,x,,,x,,,x,,,6
Brukowa,Brukowa,,SIEDLCE,,,,,,,,,,,,,,,,,,,6
Budapesztańska,Budapesztańska,,PIECKI-MIGOWO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Bukowskiego,Bronisława Bukowskiego,,VII DWÓR,,,,,,,,,,,,,,,,,,,6
Bulońska,Bulońska,"oprócz 6, 16, 18",PIECKI-MIGOWO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Bulońska,Bulońska,"6, 16, 18",PIECKI-MIGOWO,x,x,x,x,x,,,x,,,x,,x,x,x,x,x,,6
Burgaska,Burgaska,,PIECKI-MIGOWO,,x,,,x,,,x,,,x,,,x,,,x,,6
Bystrzycka,Bystrzycka,,SIEDLCE,x,,,x,,,,,x,,x,,x,,,x,,,6
Cedrowa,Cedrowa,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Chełmońskiego,Józefa Chełmońskiego,,VII DWÓR,x,,x,,x,,,,,x,,x,x,,x,,x,,6
Ciasna,Ciasna,,SIEDLCE,x,,,x,,,,,x,,x,,x,,,x,,,6
Ciechanowska,Ciechanowska,,UJEŚCISKO-ŁOSTOWICE,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Cietrzewia,Cietrzewia,,PIECKI-MIGOWO,,,,,,,,,,,,,,,,,,,6
Cisowa,Cisowa,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Cygańska Góra,Cygańska Góra,,SUCHANINO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Czajkowskiego,Piotra Czajkowskiego,,SUCHANINO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Czarnowskiego,Tadeusza Czarnowskiego,,VII DWÓR,x,,,x,,,,,,x,,x,x,,,x,,,6
Czecha,Bronisława Czecha,,PIECKI-MIGOWO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Czereśniowa,Czereśniowa,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Częstochowska,Częstochowska,,UJEŚCISKO-ŁOSTOWICE,x,,x,,x,,x,,,x,,,x,,x,,x,,6
Człuchowska,Człuchowska,,UJEŚCISKO-ŁOSTOWICE,x,,,x,,,x,,,x,,,x,,,x,,,6
Czubińskiego,prof. Zygmunta Czubińskiego,,PIECKI-MIGOWO,,x,,,x,,,x,,,x,,,x,,,x,,6
