,,Lokalizacja,,,,,
Lp,Dzielnica,Ulica,Numer,Opis,Data,Godzina przyjazdu,Godzina odjazdu
1,Aniołki,ul. Focha,,(parking przy spółdzielni - teren Spółdzielni przy ul. Focha oraz  Osiedla Kolonia Jordana),04.10.2014,09:10,09:25
2,Aniołki,ul. Orzeszkowej,"9, 11, 21",(plac naprzeciwko),11.10.2014,08:30,08:45
3,Brętowo,ul. Potokowa,29A-C,(od strony klatek; na rogu budynku od strony budynku nr 27),11.10.2014,13:25,13:40
4,Brętowo,ul. Matemblewska,42,(parking przy biurze),11.10.2014,13:45,14:00
5,Brętowo,ul. Leśna Góra,76,(obok hydroforni),11.10.2014,14:10,14:25
6,Brętowo,ul. Leśna Góra,27,(parking przy hydroforni),11.10.2014,14:30,14:45
7,Brętowo,ul. Niedźwiednik,37,(parking),11.10.2014,14:35,14:50
8,Brętowo,ul. Góralska,69,(parking),11.10.2014,14:55,15:10
9,Brzeźno,ul. Gałczyńskiego,3,(parking przy wieży przed budynkiem),11.10.2014,12:50,13:05
10,Brzeźno,ul. Dunikowskiego,17,,11.10.2014,13:10,13:25
11,Brzeźno,ul. Gdańska,12,,11.10.2014,13:30,13:45
12,Brzeźno,ul. E. Plater,22,,11.10.2014,13:50,14:05
13,Brzeźno,ul. Korzeniowskiego,28,,11.10.2014,14:10,14:25
14,Brzeźno,ul. Hallera,247,(parking przy GPEC),11.10.2014,14:30,14:45
15,Brzeźno,ul. Hallera,229-231,,11.10.2014,14:50,15:05
16,Chełm,ul. Wilanowska,12,(parking),27.09.2014,08:30,08:45
17,Chełm,ul. Srebrna,2,(plac obok pętli autobusowej),27.09.2014,11:45,12:00
18,Chełm,ul. Srebrna,,(skrzyżowanie z ul. Brylantową),27.09.2014,12:05,12:20
19,Chełm,ul. Olimpijska,25,(altana obok pojemników selektrywnej zbiórki),27.09.2014,12:30,12:45
20,Chełm,ul. Królowej Jadwigi,73,(obok pojemników selektywnej zbiórki),04.10.2014,08:30,08:45
21,Chełm,ul. Rzączyńskiego,1,(parking),04.10.2014,08:55,09:10
22,Chełm,ul. Rozrażewskiego,1,(parking przy sadzie),04.10.2014,09:15,09:30
23,Chełm,ul. Krzemowa,,(garaże obok kościoła),04.10.2014,09:35,09:50
24,Chełm,ul.,3 Brygady Szczerbca 7,,04.10.2014,09:55,10:10
25,Chełm,ul. Strzelców Karpackich,2-6,(plac),04.10.2014,10:15,10:30
26,Chełm,ul. Dywizji Wołyńskiej,30,(plac),04.10.2014,10:35,10:50
27,Chełm,ul. Bruskiego,4,,04.10.2014,10:55,11:10
28,Chełm,ul. Okulickiego,2-4,(plac),04.10.2014,11:15,11:30
29,Chełm,ul. Jabłońskiego,15,(przy altanie),04.10.2014,10:40,10:55
30,Chełm,ul. Suchanka,4-6,,04.10.2014,11:00,11:15
31,Chełm,ul. Reformacka,19A,(obok pojemników selektywnej zbiórki),04.10.2014,11:20,11:35
32,Chełm,ul. Biegańskiego,19,(przy altanie),04.10.2014,11:40,11:55
33,Chełm,ul. Biegańskiego,43C,(szczyt budynku),04.10.2014,12:00,12:15
34,Chełm,ul. Chałubińskiego,35,(przy altanie),04.10.2014,12:20,12:35
35,Chełm,ul. Chałubińskiego,5,(przy hydroforni),04.10.2014,12:40,12:55
36,Chełm,ul. Grabowskiego,3,(przy altanie),04.10.2014,13:00,13:15
37,Chełm,ul. Dragana,17,"(altana od strony klubu ""Alf"")",04.10.2014,13:25,13:40
38,Chełm,ul. Dragana,5,(altana od strony klatek),04.10.2014,13:45,14:00
39,Chełm,ul. Cebertowicza,11,(altana od strony klatek),04.10.2014,14:05,14:20
40,Chełm,ul. Więckowskiego,6C,(od strony klatki),04.10.2014,14:25,14:40
41,Jasień,ul. Ryc. Blizbora,27,,27.09.2014,09:30,09:45
42,Jasień,ul. Pólnicy,8,,27.09.2014,09:50,10:05
43,Jasień,ul. Damroki,46,,27.09.2014,10:10,10:25
44,Jasień,ul. Damroki,89,(zatoka parkingowa),27.09.2014,10:30,10:45
45,Jasień,ul. Stolema,54,(zatoka parkingowa),27.09.2014,10:50,11:05
46,Jasień,ul. Kartuska,416,(przy bramie ogrodu),27.09.2014,11:10,11:25
47,Jasień,ul. Sympatyczna,6,,27.09.2014,11:30,11:45
48,Jasień,ul. Czermińskiego,5,(parking od szczytu budynku),27.09.2014,14:40,14:55
49,Kokoszki,ul. Kminkowa,,(parking 100m od skrzyżowania z ul. Kalinową),27.09.2014,11:55,12:10
