,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ulica [nazwa skrócona],Ulica [nazwa pełna],Numery,Dzielnica,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,sek.
3 Brygady Szczerbca,3 Brygady Szczerbca,,CHEŁM ,x,,x,,x,,,,x,,x,,x,,x,,x,,1
Akwenowa,Akwenowa,,WYSPA SOBIESZEWSKA,x,,,x,,,,x,,,x,,x,,,x,,,1
Altanki,Altanki,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Ametystowa,Ametystowa,,CHEŁM ,x,,x,,x,,,,x,,x,,x,,x,,x,,1
Antczaka ,Antoniego Antczaka ,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Armii Krajowej,Aleja Armii Krajowej,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Aroniowa,Aroniowa,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Asesora,Asesora,,WZGÓRZE MICKIEWICZA,,,,,,,,,,,,,,,,,,,1
Astrowa,Astrowa,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Augustowska,Augustowska,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Bartka,Bartka,,WZGÓRZE MICKIEWICZA,,,,,,,,,,,,,,,,,,,1
Bartnicza,Bartnicza,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Barwna,Barwna,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Barzychowskiej,Erwiny Barzychowskiej,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Batalionów Chłopskich,Batalionów Chłopskich,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Begoniowa,Begoniowa,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Benzynowa,Benzynowa,,RUDNIKI,x,,,x,,,,,x,,,x,x,,,x,,,1
Biegańskiego,Władysława Biegańskiego,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Biernackiego,Edmunda Biernackiego,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Bitwy pod Lenino,Bitwy pod Lenino,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Bluszczowa,Bluszczowa,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Błońska,Błońska,,OLSZYNKA,,x,,,x,,,,x,,,x,,x,,,x,,1
Boczna,Boczna,,ORUNIA-ŚW. WOJCIECH-LIPCE,,x,,,x,,x,,,x,,,,x,,,x,,1
Boguckiego,Mieczysława Boguckiego,,WYSPA SOBIESZEWSKA,x,,,x,,,,x,,,x,,x,,,x,,,1
Borkowska,Borkowska,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Bratki,Bratki,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Browicza,Tadeusza Browicza,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Bruskiego,Alojzego Bruskiego,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Brylantowa,Brylantowa,,CHEŁM ,x,,x,,x,,,,x,,x,,x,,x,,x,,1
Brzegi,Brzegi,,ORUNIA-ŚW. WOJCIECH-LIPCE,,x,,,x,,x,,,x,,,,x,,,x,,1
Buczka,Mariana Buczka,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Cebertowicza,prof. Romualda Cebertowicza,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Chałubińskiego,Tytusa Chałubińskiego,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Chychły,Zygmunta Chychły,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Cienista,Cienista,"12 do końca parz., 21 do końca nieparz.",CHEŁM,x,,,x,,,x,,,x,,,x,,,x,,,1
Cienista,Cienista,2-10A parz.; 1-19 nieparz.,ORUNIA-ŚW. WOJCIECH-LIPCE,x,,,x,,,x,,,x,,,x,,,x,,,1
Cieszyńskiego,Władysława Cieszyńskiego,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Cmentarna,Cmentarna,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Czajki,Czajki,,WYSPA SOBIESZEWSKA,x,,,x,,,,x,,,x,,x,,,x,,,1
Czerska,Czerska,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Czirenberga,Jana Czirenberga,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Czyżyków,Czyżyków,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Daleka,Daleka,,ORUNIA-ŚW. WOJCIECH-LIPCE,x,,,x,,,,x,,,x,,x,,,x,,,1
Dąbrówki,Dąbrówki,,CHEŁM ,,x,,,x,,,,x,,x,,,x,,,x,,1
Diamentowa,Diamentowa,,ORUNIA-ŚW. WOJCIECH-LIPCE,x,,x,,x,,x,,,x,,,x,,x,,x,,1
Dobrzyńskich,Dobrzyńskich,,WZGÓRZE MICKIEWICZA,,,,,,,,,,,,,,,,,,,1
Dokerów,Dokerów,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Domeyki,Ignacego Domeyki,,WZGÓRZE MICKIEWICZA,,,,,,,,,,,,,,,,,,,1
Dominika,bpa Konstantyna Dominika,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Dragana,Marcina Dragana,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Dulkowa,Dulkowa,,WYSPA SOBIESZEWSKA,x,,,x,,,,x,,,x,,x,,,x,,,1
Dworcowa ,Dworcowa ,,ORUNIA-ŚW. WOJCIECH-LIPCE,x,,,x,,,x,,,x,,,x,,,x,,,1
Dworkowa,Dworkowa,,OLSZYNKA,x,,,x,,,,,x,,,x,x,,,x,,,1
Dywizji Wołyńskiej,Dywizji Wołyńskiej,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Działyńskiego,Mikołaja Działyńskiego,,CHEŁM ,x,,,,x,,,x,,,x,,x,,,,x,,1
Dzwonki,Dzwonki,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Elbląska,Elbląska,"66 do końca parz., 79 do końca nie parz.",RUDNIKI,x,,x,,x,,x,,x,,x,,x,,x,,x,,1
Falowa,Falowa,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Fieldorfa,gen. Augusta Emila Fieldorfa,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Figowa,Figowa,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Filaretów,Filaretów,,WZGÓRZE MICKIEWICZA,,,,,,,,,,,,,,,,,,,1
Filomatów,Filomatów,,WZGÓRZE MICKIEWICZA,,,,,,,,,,,,,,,,,,,1
Fiołkowa,Fiołkowa,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Forsycji,Forsycji,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Frezjowa,Frezjowa,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Gdańskiego Kolejarza,Gdańskiego Kolejarza,,RUDNIKI,,,,,,,,,,,,,,,,,,,1
Gerwazego,Gerwazego,,WZGÓRZE MICKIEWICZA,,,,,,,,,,,,,,,,,,,1
Gęsia,Gęsia,,OLSZYNKA,,x,,,x,,,,x,,,x,,x,,,x,,1
Głogowa,Głogowa,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Głucha,Głucha,,ORUNIA-ŚW. WOJCIECH-LIPCE,,x,,,x,,x,,,x,,,,x,,,x,,1
Gościnna,Gościnna,,ORUNIA-ŚW. WOJCIECH-LIPCE,x,,,x,,,x,,,x,,,x,,,x,,,1
Goździkowa,Goździkowa,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Górecka,Górecka,,KRAKOWIEC-GÓRKI ZACHODNIE,,,,,,,,,,,,,,,,,,,1
Górnowicza,prof. Huberta Górnowicza,,CHEŁM ,,x,,,x,,,,x,,x,,,x,,,x,,1
Grabowa,Grabowa,,ORUNIA-ŚW. WOJCIECH-LIPCE,,x,,,x,,x,,,x,,,,x,,,x,,1
Grabowskiego,Witolda Grabowskiego,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Granitowa,Granitowa,,ORUNIA-ŚW. WOJCIECH-LIPCE,x,,x,,x,,x,,,x,,,x,,x,,x,,1
Gronowa,Gronowa,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Groszkowa,Groszkowa,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Grubby,Andrzeja Grubby,,CHEŁM ,,x,,,x,,,,x,,x,,,x,,,x,,1
Gwiaździsta,Gwiaździsta,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Hebanowskiego,Stanisława Hebanowskiego,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Herberta,Zbigniewa Herberta,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Hiacyntowa,Hiacyntowa,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Hirszfelda,Ludwika Hirszfelda,,CHEŁM ,x,,,x,,,,x,,,x,,x,,,x,,,1
Hoene,Emilii Hoene,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Hokejowa,Hokejowa,,CHEŁM ,,x,,,x,,,,x,,x,,,x,,,x,,1
Horeszków,Horeszków,,WZGÓRZE MICKIEWICZA,,,,,,,,,,,,,,,,,,,1
Iłowa,Iłowa,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Inspektorska,Inspektorska,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Jabłońskiego,Henryka Hubertusa Jabłońskiego,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Jachtowa,Jachtowa,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Jagatowska,Jagatowska,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Jagiellonki,Anny Jagiellonki,,CHEŁM ,,x,,,x,,,,x,,,x,,x,,,x,,1
Jagiellończyka,Aleja Kazimierza Jagiellończyka,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Jagiełły,Władysława Jagiełły,,CHEŁM ,x,,,,x,,,,x,,x,,x,,,,x,,1
Jagodowa,Jagodowa,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Jankiela,Jankiela,,WZGÓRZE MICKIEWICZA,,,,,,,,,,,,,,,,,,,1
Jaśminowa,Jaśminowa,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Jelinki,Jelinki,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Jodłowa,Jodłowa,,KRAKOWIEC-GÓRKI ZACHODNIE,x,,,,x,,,,x,,,x,x,,,,x,,1
Jodowa,Jodowa,,WYSPA SOBIESZEWSKA,x,,,x,,,,x,,,x,,x,,,x,,,1
Junacka,Junacka,,ORUNIA-ŚW. WOJCIECH-LIPCE,,x,,,x,,x,,,x,,,,x,,,x,,1
Kacza,Kacza,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Kadmowa,Kadmowa,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Kampinoska,Kampinoska,14 do końca,CHEŁM ,x,,x,,x,,x,,x,,x,,x,,x,,x,,1
Kanałowa,Kanałowa,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Kapitańska,Kapitańska,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Kątowa,Kątowa,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Kempingowa,Kempingowa,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Kępna,Kępna,,KRAKOWIEC-GÓRKI ZACHODNIE,x,,,,x,,,,x,,,x,x,,,,x,,1
Kielasa,Jana Kielasa,,CHEŁM ,,x,,,x,,,,x,,x,,,x,,,x,,1
Klimatyczna,Klimatyczna,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Knyszyńska,Knyszyńska,,CHEŁM ,,x,,,x,,,,x,,x,,,x,,,x,,1
Kolarska,Kolarska,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Kolonia Anielinki,Kolonia Anielinki,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Kolonia Mysia,Kolonia Mysia,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Kolonia Orka,Kolonia Orka,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Kolonia Postęp,Kolonia Postęp,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Kolonia Przyszłość,Kolonia Przyszłość,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Kolonia Rola,Kolonia Rola,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Kolonia Studentów,Kolonia Studentów,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Kolonia Zaranie,Kolonia Zaranie,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Kolonijna,Kolonijna,,WYSPA SOBIESZEWSKA,x,,,x,,,,x,,,x,,x,,,x,,,1
Kolorowa,Kolorowa,,CHEŁM ,x,,x,,x,,x,,x,,x,,x,,x,,x,,1
Kopeckiego,prof. Kazimierza Kopeckiego,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Koralowa,Koralowa,,ORUNIA-ŚW. WOJCIECH-LIPCE,x,,x,,x,,x,,,x,,,x,,x,,x,,1
Krańcowa,Krańcowa,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Krokusowa,Krokusowa,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Królowej Bony,Królowej Bony,,CHEŁM ,,x,,,x,,x,,,x,,,,x,,,x,,1
Królowej Jadwigi,Królowej Jadwigi,,CHEŁM ,,x,,,x,,,,x,,x,,,x,,,x,,1
Krótka,Krótka,,OLSZYNKA,x,,,x,,,,,x,,,x,x,,,x,,,1
Krylowa,Krylowa,,WYSPA SOBIESZEWSKA,x,,,x,,,,x,,,x,,x,,,x,,,1
Kryształowa,Kryształowa,,CHEŁM ,,x,,,x,,,,x,,x,,,x,,,x,,1
Krzemowa,Krzemowa,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Księdza Robaka,Księdza Robaka,,WZGÓRZE MICKIEWICZA,,,,,,,,,,,,,,,,,,,1
Księżycowa,Księżycowa,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Kurierów Armii Krajowej,Kurierów Armii Krajowej,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Kutnowska,Kutnowska,,KRAKOWIEC-GÓRKI ZACHODNIE,x,,,,x,,,,x,,,x,x,,,,x,,1
Kwiatowa,Kwiatowa,,WYSPA SOBIESZEWSKA,x,,,x,,,,x,,,x,,x,,,x,,,1
Lazurowa,Lazurowa,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Letnia,Letnia,,OLSZYNKA,,x,,,x,,,,x,,,x,,x,,,x,,1
Lewkoniowa,Lewkoniowa,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Lipce,Lipce,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Lipowicza,prof. Romana Lipowicza,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Listki,Listki,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Litewska,Litewska,,RUDNIKI,,,,,,,,,,,,,,,,,,,1
Lotników Polskich,Lotników Polskich,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Lubuska,Lubuska,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Łanowa,Łanowa,,OLSZYNKA,x,,,x,,,,,x,,,x,x,,,x,,,1
Łańcucka,Łańcucka,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Łęczycka,Łęczycka,,KRAKOWIEC-GÓRKI ZACHODNIE,x,,,,x,,,,x,,,x,x,,,,x,,1
Łęgi,Łęgi,,OLSZYNKA,x,,,x,,,,,x,,,x,x,,,x,,,1
Łowicka,Łowicka,,KRAKOWIEC-GÓRKI ZACHODNIE,x,,,,x,,,,x,,,x,x,,,,x,,1
Łucznicza,Łucznicza,,CHEŁM ,,x,,,x,,,,x,,x,,,x,,,x,,1
Łupaszko,mjr Łupaszko,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Łużycka,Łużycka,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Łyżwiarska,Łyżwiarska,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Macieja,Macieja,,WZGÓRZE MICKIEWICZA,,,,,,,,,,,,,,,,,,,1
Madalińskiego,Antoniego Madalińskiego,2 do końca,CHEŁM,,,,,,,,,,,,,,,,,,,1
Madalińskiego,Antoniego Madalińskiego,"1, 1A",ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Majowa,Majowa,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Maki,Maki,,OLSZYNKA,x,,,x,,,,,x,,,x,x,,,x,,,1
Małomiejska,Małomiejska,,ORUNIA-ŚW. WOJCIECH-LIPCE,,x,,,x,,x,,,x,,,,x,,,x,,1
Marii Ludwiki,Marii Ludwiki,,CHEŁM,,,,,,,,,,,,,,,,,,,1
Maryli,Maryli,,WZGÓRZE MICKIEWICZA,,,,,,,,,,,,,,,,,,,1
Marynarska,Marynarska,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
