id;nazwa;miasto;kod;link www;e-mail;tel 1;tel 2;fax;x;y;ulica;numer
5432;Subis³awa 23;Gdañsk;80-354;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.418396;18.571480000000065;Subis³awa ;23
5433;Subis³awa 22;Gdañsk;80-354;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.420023;18.572912;Subis³awa;22
5434;Rybacka 7;Gdañsk;80-340;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.423077;18.571627;Rybacka;7
5435;Pomoroska 1-2;Gdañsk;80-299;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.414769; 18.567292;Pomorska;02-sty
5436;Pelpliñska 5;Gdañsk;80-335;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.417342;18.570938;Pelpliñska;5
5437;Sztormowa 7;Gdañsk;80-335;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.421747;18.572239;Sztormowa;7
5438;Sztormowa 1;Gdañsk;80-335;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.420898;18.572792;Sztormowa;1
5439;Pomorska 15;Gdañsk;80-333;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.418041;18.575810;Pomorska;15
5440;Pomorska 22A;Gdañsk;80-333;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.417482;18.573770;Pomorska;13
5441;Pomorska 22A;Gdañsk;80-333;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.419744;18.580298;Pomorska;22A
5442;Pomorska 18;Gdañsk;80-333;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.418253;18.580146;Pomorska ;18
5443;Dickmana 10;Gdañsk;80-339;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.417633;18.567520;Dickmana;10
5444;Bitwy Oliwskiej 15;Gdañsk;80-339;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.421953;18.566905;Bitwy Oliwskiej;15
5445;Grunwaldzka 607-609;Gdañsk;80-236;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.422506;18.564244;Grunwaldzka;607-609
